time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T07:36:21.980Z,33.3273333,-116.9846667,12.83,0.72,ml,11,155,0.1054,0.21,ci,ci37410314,2018-11-01T07:40:04.351Z,"10km ESE of Pala, CA",earthquake,1.19,2.82,0.335,5,automatic,ci,ci
2018-11-01T07:28:17.950Z,19.1714993,-155.4793396,32.46,1.86,md,31,165,0.02283,0.17,hv,hv70678407,2018-11-01T07:31:31.150Z,"3km S of Pahala, Hawaii",earthquake,0.99,1.14,0.06,3,automatic,hv,hv
2018-11-01T07:24:07.750Z,33.5015,-116.788,4.68,0.3,ml,16,60,0.01497,0.23,ci,ci37410306,2018-11-01T07:27:52.763Z,"10km NE of Aguanga, CA",earthquake,0.57,0.74,0.104,6,automatic,ci,ci
2018-11-01T07:23:10.970Z,33.5101667,-116.7938333,4.44,0.42,ml,18,74,0.005871,0.12,ci,ci37410298,2018-11-01T07:26:51.009Z,"10km NE of Aguanga, CA",earthquake,0.23,0.44,0.138,9,automatic,ci,ci
2018-11-01T07:22:55.070Z,33.4623333,-116.8048333,8.69,0.33,ml,11,157,0.05004,0.23,ci,ci37410290,2018-11-01T07:26:34.630Z,"6km ENE of Aguanga, CA",earthquake,0.8,2.31,0.172,5,automatic,ci,ci
2018-11-01T07:21:51.362Z,60.5776,-150.6664,35.3,1.4,ml,,,,0.84,ak,ak20308299,2018-11-01T07:34:50.925Z,"7km NE of Sterling, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T07:13:06.570Z,35.2167,-97.6968,5,2.1,ml,,65,0.128,0.3,us,us2000i55h,2018-11-01T08:57:53.040Z,"9km WSW of Newcastle, Oklahoma",earthquake,0.9,1.7,0.066,30,reviewed,us,us
2018-11-01T07:11:14.600Z,18.0421,-66.0968,23,1.6,md,5,109,0.0773,0.21,pr,pr2018305003,2018-11-01T11:48:03.215Z,"4km NNE of Olimpo, Puerto Rico",earthquake,1.22,1.65,0.58,4,reviewed,pr,pr
2018-11-01T07:10:37.167Z,59.8571,-141.4058,6.1,2.7,ml,,,,0.87,ak,ak20308292,2018-11-01T07:22:42.040Z,"61km ESE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T06:52:14.070Z,33.3911667,-116.4321667,8.36,1.26,ml,46,94,0.1152,0.22,ci,ci37410282,2018-11-01T07:02:51.620Z,"16km NNW of Borrego Springs, CA",earthquake,0.28,0.92,0.188,25,automatic,ci,ci
2018-11-01T06:37:14.430Z,36.2406,-98.1534,5.94,2.5,mb_lg,,61,0.266,0.15,us,us2000i54y,2018-11-01T07:54:22.267Z,"20km NE of Okeene, Oklahoma",earthquake,0.9,5.2,0.086,35,reviewed,us,us
2018-11-01T06:31:35.090Z,33.4836667,-116.7915,4.42,0.96,ml,46,39,0.02957,0.2,ci,ci37410274,2018-11-01T06:35:14.948Z,"8km ENE of Aguanga, CA",earthquake,0.22,0.47,0.187,27,automatic,ci,ci
2018-11-01T06:31:08.700Z,-22.328,-68.7009,101.68,4.8,mb,,48,0.343,1.07,us,us2000i55r,2018-11-01T08:18:08.040Z,"28km ENE of Calama, Chile",earthquake,5.6,5,0.039,208,reviewed,us,us
2018-11-01T06:27:50.640Z,60.2072,-139.9117,4.1,1.7,ml,,,,0.79,ak,ak20308290,2018-11-01T06:34:08.384Z,"74km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T06:24:21.330Z,37.6463318,-122.0606689,6.31,1.73,md,20,134,0.08539,0.13,nc,nc73104666,2018-11-01T07:08:03.443Z,"2km ENE of Hayward, CA",earthquake,0.62,1.26,0.15,20,automatic,nc,nc
2018-11-01T06:14:49.600Z,45.945,-121.963,14.16,0.89,ml,8,286,,0.19,uw,uw61501902,2018-11-01T06:54:49.030Z,"26km NNW of Carson, Washington",earthquake,1.11,2.16,0.047108662,4,reviewed,uw,uw
2018-11-01T06:13:37.240Z,33.479,-116.7818333,4.04,0.11,ml,7,158,0.09386,0.09,ci,ci37410266,2018-11-01T06:17:20.493Z,"9km ENE of Aguanga, CA",earthquake,0.49,0.98,0.088,5,automatic,ci,ci
2018-11-01T06:08:23.350Z,2.3768,122.109,569.85,4.3,mb,,77,1.827,0.61,us,us2000i58x,2018-11-01T13:15:36.040Z,"154km NNE of Kali, Indonesia",earthquake,5.8,8.9,0.074,51,reviewed,us,us
2018-11-01T05:56:14.355Z,62.2981,-150.3183,19.1,1.4,ml,,,,0.34,ak,ak20308143,2018-11-01T06:05:43.765Z,"11km WSW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T05:52:01.547Z,69.4189,-144.3379,0,2.3,ml,,,,0.8,ak,ak20308140,2018-11-01T05:58:49.450Z,"84km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-01T05:50:15.820Z,48.159,-122.4728333,20.66,1.89,ml,37,46,,0.23,uw,uw61501897,2018-11-01T06:47:46.250Z,"4km ESE of Camano, Washington",earthquake,0.3,0.89,0.112516977,21,reviewed,uw,uw
2018-11-01T05:47:09.960Z,60.2499,-140.9911,0,1.6,ml,,,,0.81,ak,ak20308138,2018-11-01T05:51:24.744Z,"82km ENE of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-01T05:45:38.000Z,62.5779,-151.2746,80.3,2.2,ml,,,,0.77,ak,ak20308134,2018-11-01T05:58:49.182Z,"66km WNW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-01T05:41:03.680Z,45.45033333,-122.651,16.2,1.26,ml,21,111,,0.21,uw,uw61501892,2018-11-01T06:30:47.120Z,"1km WNW of Milwaukie, Oregon",earthquake,0.49,3.12,0.10829584,7,reviewed,uw,uw
2018-11-01T05:34:30.930Z,37.1492,20.6093,10,4.5,mb,,140,2.637,0.74,us,us2000i54d,2018-11-01T06:06:25.040Z,"66km SSW of Lithakia, Greece",earthquake,7.3,1.9,0.139,15,reviewed,us,us
2018-11-01T05:27:07.617Z,64.0247,-148.883,0,1.6,ml,,,,1.12,ak,ak20308129,2018-11-01T05:33:55.601Z,"19km NNE of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-01T05:17:06.000Z,46.132,-122.1663333,5.76,0.66,ml,10,100,,0.09,uw,uw61501887,2018-11-01T06:16:22.730Z,"32km NE of Amboy, Washington",earthquake,0.55,0.42,0.284529624,9,reviewed,uw,uw
